"abd","C.ach","C.akw","C.ata","C.kma","C.oro","C.pad","C.paj","C.pal","age","fthr.ed","mthr.ed","orphan96","fthr.frm","hh.size96","educ"
1,1,0,0,0,0,0,0,0,15,4,0,0,1,7,6
1,1,0,0,0,0,0,0,0,20,7,0,0,1,5,6
1,1,0,0,0,0,0,0,0,30,0,0,1,1,8,12
0,0,0,0,0,0,1,0,0,21,10,4,0,1,15,6
0,0,0,0,0,0,1,0,0,23,4,0,0,1,15,12
1,0,0,0,0,0,1,0,0,18,4,4,0,1,11,8
0,0,0,0,0,0,1,0,0,21,4,0,0,1,9,7
1,0,0,0,0,0,1,0,0,26,0,0,0,1,4,6
1,0,0,0,0,0,1,0,0,30,4,0,0,0,2,6
1,0,0,0,0,0,1,0,0,26,10,7,0,0,10,7
0,0,0,0,0,0,1,0,0,26,10,0,0,1,8,8
1,0,0,0,0,0,1,0,0,30,4,0,0,1,6,7
1,0,0,0,0,0,1,0,0,18,4,0,0,1,6,2
0,0,0,0,0,0,1,0,0,23,7,0,0,0,4,3
1,0,0,0,0,0,1,0,0,14,10,0,0,1,4,11
1,1,0,0,0,0,0,0,0,15,4,4,0,1,6,8
1,1,0,0,0,0,0,0,0,30,0,0,0,1,14,3
1,1,0,0,0,0,0,0,0,30,0,0,0,1,7,7
1,0,0,0,0,0,0,0,1,30,7,0,0,1,8,2
0,0,0,0,0,0,0,0,1,18,0,0,0,1,3,10
1,0,0,0,0,0,0,0,1,14,12,4,0,1,3,7
1,0,0,0,0,0,0,0,1,30,0,4,0,1,5,13
1,0,0,0,0,0,0,0,1,20,7,0,0,1,9,11
1,0,0,0,0,0,0,0,1,20,10,0,0,1,4,4
1,0,0,0,0,0,0,0,1,27,4,0,1,1,10,11
1,0,0,0,0,0,0,0,1,29,0,0,0,1,8,4
1,0,0,0,0,0,1,0,0,25,4,0,0,1,14,8
1,0,0,0,0,0,1,0,0,20,4,4,0,1,7,7
1,0,0,0,0,0,0,0,1,18,7,0,0,1,4,5
1,0,0,0,0,0,0,0,1,15,0,0,0,1,4,6
1,0,0,0,0,0,0,0,1,24,4,0,0,1,2,9
1,0,0,0,0,0,0,0,1,15,0,0,0,1,6,7
1,0,0,0,0,0,0,0,1,17,0,4,1,1,6,8
1,0,0,0,0,0,0,0,1,20,0,0,0,1,7,9
1,0,0,0,0,0,0,0,1,14,12,0,0,1,4,6
1,0,0,0,0,0,0,0,1,18,10,0,0,0,6,7
1,0,0,0,0,0,1,0,0,23,4,0,0,0,15,11
1,0,0,0,0,0,1,0,0,16,0,4,0,0,15,5
1,0,0,0,0,0,1,0,0,18,0,0,0,1,6,10
1,0,0,0,0,0,1,0,0,18,4,0,0,1,5,8
1,0,0,0,0,0,1,0,0,17,7,4,0,1,6,4
1,0,0,0,0,0,1,0,0,20,7,0,0,1,5,3
1,0,0,0,0,0,1,0,0,15,4,0,0,0,4,5
1,0,0,0,0,0,1,0,0,15,12,0,0,1,8,7
1,0,0,0,0,0,1,0,0,25,10,0,0,1,4,6
1,0,0,0,0,0,1,0,0,25,7,4,0,1,5,3
1,0,0,0,0,0,1,0,0,19,7,0,0,0,15,7
1,0,0,0,0,0,1,0,0,30,0,0,0,1,2,0
0,0,0,0,1,0,0,0,0,17,4,0,0,1,10,10
1,0,0,0,1,0,0,0,0,25,4,0,0,1,10,7
0,0,0,0,1,0,0,0,0,30,15,7,0,0,10,10
1,0,0,0,1,0,0,0,0,14,4,4,0,1,9,5
1,0,1,0,0,0,0,0,0,29,7,4,0,1,20,5
1,0,0,0,0,0,1,0,0,18,4,0,0,1,6,6
1,0,0,0,0,0,1,0,0,16,4,4,0,1,6,5
1,1,0,0,0,0,0,0,0,15,4,0,0,1,9,5
